255	137.5725	255	255
255	129.1065	255	255
255	120.513	255	255
255	111.8175	255	255
248.8545	102.9435	255	255
224.3745	93.84	255	255
199.4355	84.456	255	255
174.4965	74.664	255	255
149.5575	64.3875	255	255
124.3125	53.4735	255	255
98.328	41.5395	255	255
70.2525	27.7695	255	255
31.314	5.9925	255	255
0.51	20.655	252.0165	255
28.4835	30.3705	254.898	255
47.583	53.346	255	255
55.3605	75.939	255	255
57.2475	97.053	255	255
55.896	117.0195	255	255
52.5555	136.068	255	255
47.9145	154.377	255	255
42.3045	172.125	255	255
35.547	189.4395	255	255
27.1065	206.4735	255	255
13.311	223.278	255	255
0.6885	241.7145	254.1585	255
0	247.7325	242.4795	255
0	240.771	216.4185	255
0	230.622	188.9805	255
0	220.422	163.047	255
0	209.9925	138.8985	255
0	199.4355	117.2235	255
0	188.7255	99.0165	255
0	177.9645	85.2465	255
0	167.127	76.4745	255
0	156.0855	71.5275	255
0	144.228	65.382	255
0	131.478	56.1	255
0	115.77	40.086	255
0	117.5805	41.718	255
0	129.1575	51.4335	255
0	141.3975	57.5025	255
0	151.8015	57.1455	255
0	160.4205	50.1075	255
4.5135	166.7955	10.8885	255
42.5085	176.2305	0	255
83.742	187.3995	0	255
113.067	197.7525	0	255
141.1935	207.57	0	255
168.8865	216.8775	0	255
196.554	225.675	0	255
228.072	235.1865	0	255
236.181	228.174	0	255
236.895	207.7995	0	255
237.354	188.955	0	255
237.354	169.7535	0	255
236.8185	150.042	0	255
235.467	129.693	0	255
233.0445	108.4515	0	255
229.2195	85.884	0	255
223.686	60.945	0	255
216.189	17.7225	1.1985	255
208.3605	0	20.502	255
199.5885	0	42.8145	255
