103	0	31	255
118	1	32	255
133	4	33	255
146	8	35	255
158	12	37	255
169	18	40	255
178	24	43	255
186	32	47	255
192	43	51	255
198	56	57	255
203	70	63	255
209	83	70	255
214	96	77	255
220	108	84	255
226	120	92	255
231	132	101	255
237	143	110	255
241	155	120	255
244	165	130	255
246	175	141	255
248	185	153	255
250	195	165	255
252	204	177	255
253	212	189	255
253	219	199	255
253	225	209	255
252	232	220	255
251	238	230	255
250	242	239	255
249	246	245	255
243	246	247	255
237	243	245	255
228	238	244	255
218	234	242	255
209	229	240	255
200	225	238	255
190	220	235	255
180	215	232	255
169	209	229	255
158	203	226	255
146	197	222	255
133	190	218	255
119	182	214	255
104	173	209	255
89	164	204	255
77	155	199	255
67	147	195	255
60	139	191	255
53	132	188	255
48	125	185	255
43	117	181	255
38	110	177	255
33	102	172	255
28	94	165	255
23	85	155	255
18	76	143	255
14	67	129	255
9	58	113	255
5	48	97	255
